Hour,Vehicles
1,699
2,346
3,193
4,191
5,193
6,355
7,1021
8,3471
9,4826
10,4284
11,3253
12,3000
13,3052
14,3005
15,2810
16,2351
17,2304
18,2653
19,3322
20,2553
21,1811
22,1220
23,1123
24,957
25,716
26,341
27,231
28,172
29,186
30,351
31,1026
32,3517
33,4799
34,4393
35,3293
36,2959
37,2843
38,2582
39,2389
40,2287
41,2410
42,2688
43,3409
44,2713
45,2010
46,1408
47,1308
48,1054
49,759
50,417
51,215
52,209
53,226
54,363
55,1061
56,3516
57,4782
58,4318
59,3148
60,2907
61,3038
62,2715
63,2476
64,2479
65,2444
66,2833
67,3563
68,2922
69,2233
70,1525
71,1375
72,1144
73,826
74,404
75,251
76,219
77,200
78,367
79,1112
80,3460
81,4653
82,4239
83,3216
84,2970
85,3028
86,2817
87,2648
88,2602
89,2696
90,2906
91,3613
92,3168
93,2501
94,1774
95,1604
96,1233
97,873
98,556
99,357
100,271
101,217
102,277
103,754
104,1587
105,1660
106,2295
107,2401
108,2524
109,2756
110,2701
111,2506
112,2579
113,2368
114,2338
115,2665
116,2637
117,2336
118,1746
119,1406
120,1254
121,1058
122,730
123,512
124,275
125,237
126,174
127,377
128,962
129,989
130,1219
131,1668
132,2151
133,2477
134,2476
135,2484
136,2388
137,2360
138,2538
139,3038
140,2862
141,2254
142,2068
143,1723
144,1452
145,919
146,341
147,188
148,183
149,203
150,352
151,1094
152,3606
153,4674
154,4426
155,3473
156,3277
157,3179
158,3023
159,2729
160,2626
161,2584
162,2861
163,3585
164,2838
165,1923
166,1305
167,1043
168,903
169,667
170,371
171,213
172,177
173,188
174,353
175,1111
176,3761
177,5025
178,4430
179,3462
180,3236
181,2968
182,2729
183,2642
184,2495
185,2563
186,2925
187,3705
188,2889
189,2097
190,1369
191,1257
192,1056
193,766
194,415
195,242
196,212
197,233
198,373
199,1157
200,3872
201,4949
202,4403
203,3435
204,3112
205,2896
206,2540
207,2532
208,2392
209,2529
210,2873
211,3861
212,3018
213,2190
214,1508
215,1432
216,1161
217,789
218,414
219,274
220,221
221,222
222,397
223,1073
224,3721
225,4864
226,4236
227,3462
228,3138
229,2790
230,2792
231,2708
232,2855
233,2910
234,3285
235,3973
236,3345
237,2572
238,1638
239,1366
240,1035
241,881
242,515
243,318
244,230
245,214
246,257
247,688
248,1665
249,1741
250,2260
251,2550
252,2895
253,2897
254,2875
255,2638
256,2710
257,2468
258,2320
259,2641
260,3065
261,2463
262,1734
263,1447
264,1273
265,1103
266,824
267,545
268,316
269,211
270,178
271,409
272,846
273,927
274,1220
275,1978
276,2514
277,2503
278,2546
279,2494
280,2387
281,2339
282,2656
283,2805
284,2727
285,2289
286,1767
287,1579
288,1404
289,945
290,408
291,255
292,205
293,167
294,342
295,1046
296,3960
297,5119
298,4499
299,3251
300,3136
301,2902
302,2721
303,2594
304,2500
305,2497
306,2804
307,3809
308,2998
309,1912
310,1310
311,1057
312,936
313,629
314,301
315,185
316,193
317,179
318,354
319,1244
320,3952
321,5117
322,4463
323,3008
324,2615
325,2450
326,2466
327,2286
328,2236
329,2527
330,2838
331,3712
332,3048
333,2086
334,1354
335,1060
336,925
337,657
338,336
339,212
340,202
341,192
342,333
343,1268
344,3975
345,5148
346,4396
347,3533
348,3360
349,3207
350,2819
351,2735
352,2738
353,2811
354,3179
355,3929
356,3565
357,2697
358,1476
359,1284
360,1163
361,815
362,437
363,278
364,163
365,160
366,237
367,482
368,1412
369,1593
370,1552
371,2051
372,2445
373,2404
374,2507
375,2135
376,2003
377,1939
378,2208
379,2405
380,2320
381,1999
382,1600
383,1526
384,1275
385,886
386,437
387,313
388,214
389,194
390,267
391,580
392,1374
393,1634
394,2227
395,2412
396,2735
397,2910
398,2821
399,2707
400,2579
401,2598
402,2633
403,3006
404,3411
405,3459
406,2642
407,1520
408,1110
409,985
410,752
411,462
412,314
413,202
414,189
415,341
416,811
417,888
418,1070
419,1656
420,2137
421,2424
422,2641
423,2624
424,2524
425,2385
426,2644
427,2855
428,2958
429,2512
430,2300
431,2152
432,1677
433,963
434,382
435,251
436,206
437,192
438,407
439,1178
440,3963
441,5422
442,4253
443,3143
444,3004
445,2838
446,2757
447,2651
448,2666
449,2746
450,2914
451,3654
452,2943
453,1838
454,1213
455,1063
456,924
457,559
458,349
459,197
460,193
461,214
462,386
463,1235
464,4064
465,5215
466,4474
467,3329
468,3012
469,2820
470,2773
471,2719
472,2591
473,2795
474,3163
475,3752
476,3135
477,2114
478,1435
479,1212
480,1079
481,698
482,359
483,211
484,185
485,200
486,388
487,1249
488,4080
489,5333
490,4476
491,3664
492,3083
493,2795
494,2686
495,2549
496,2559
497,2790
498,3097
499,3792
500,3255
501,2203
502,1338
503,1194
504,1162
505,756
506,392
507,245
508,203
509,223
510,404
511,1259
512,4140
513,5275
514,4496
515,3493
516,3004
517,2785
518,2644
519,2645
520,2482
521,2732
522,3166
523,3735
524,3170
525,2271
526,1494
527,1312
528,1150
529,713
530,364
531,259
532,205
533,212
534,401
535,1222
536,4009
537,5334
538,4462
539,3468
540,2987
541,2924
542,2804
543,2744
544,2778
545,3052
546,3552
547,4118
548,3713
549,2784
550,1809
551,1556
552,1210
553,952
554,583
555,313
556,248
557,194
558,308
559,766
560,1791
561,1868
562,2631
563,2703
564,2675
565,2788
566,2881
567,2763
568,2538
569,2333
570,2453
571,2702
572,3050
573,2851
574,1961
575,1603
576,1322
577,1215
578,849
579,554
580,299
581,206
582,193
583,352
584,821
585,841
586,1254
587,1742
588,2191
589,2369
590,2736
591,2678
592,2447
593,2624
594,2887
595,2888
596,2599
597,1990
598,1699
599,1569
600,1157
601,731
602,288
603,154
604,206
605,197
606,401
607,1264
608,4156
609,5154
610,4602
611,3595
612,3019
613,2772
614,2588
615,2666
616,2519
617,2737
618,3195
619,3690
620,3080
621,2163
622,1395
623,1145
624,985
625,701
626,349
627,192
628,169
629,175
630,374
631,1253
632,4078
633,5525
634,4471
635,3477
636,3012
637,2740
638,2804
639,2569
640,2591
641,2826
642,3174
643,4133
644,3474
645,2430
646,1396
647,1168
648,1048
649,724
650,369
651,239
652,228
653,213
654,377
655,1251
656,4148
657,5403
658,4395
659,3565
660,2929
661,2799
662,2680
663,2687
664,2636
665,2778
666,3212
667,3897
668,3437
669,2617
670,1553
671,1302
672,1088
673,722
674,379
675,233
676,229
677,185
678,417
679,1225
680,4058
681,5155
682,4481
683,3590
684,3180
685,3042
686,2959
687,2865
688,2843
689,3151
690,3568
691,4059
692,3562
693,2939
694,1886
695,1588
696,1262
697,989
698,573
699,300
700,234
701,179
702,299
703,764
704,1714
705,2051
706,2860
707,2619
708,2797
709,2849
710,3017
711,2809
712,2623
713,2445
714,2587
715,3041
716,3213
717,2720
718,1868
719,1525
720,1345
721,1218
722,799
723,514
724,322
725,216
726,188
727,379
728,883
729,1033
730,1421
731,2078
732,2365
733,2523
734,2587
735,2573
736,2407
737,2320
738,2611
739,3100
740,3045
741,2569
742,2122
743,1969
744,1306
745,811
746,358
747,211
748,193
749,202
750,369
751,1107
752,3675
753,5151
754,4729
755,3328
756,2849
757,2797
758,2541
759,2450
760,2360
761,2627
762,3081
763,3814
764,2809
765,1939
766,1341
767,1129
768,877
769,619
770,320
771,179
772,183
773,218
774,429
775,1340
776,4271
777,5270
778,4533
779,3556
780,2809
781,2662
782,2679
783,2542
784,2385
785,2753
786,3103
787,4073
788,3520
789,2511
790,1483
791,1187
792,1066
793,733
794,391
795,246
796,209
797,239
798,397
799,1304
800,4248
801,5233
802,4492
803,3548
804,2922
805,2701
806,2514
807,2532
808,2436
809,2786
810,3202
811,3984
812,3337
813,2218
814,1417
815,1283
816,1134
817,760
818,405
819,239
820,226
821,207
822,406
823,1245
824,4158
825,5323
826,4448
827,3561
828,3207
829,3012
830,2964
831,2793
832,2807
833,3159
834,3646
835,4116
836,3939
837,2871
838,1988
839,1645
840,1245
841,925
842,529
843,311
844,233
845,215
846,295
847,789
848,1829
849,1982
850,2874
851,2890
852,2874
853,2923
854,3143
855,2909
856,2761
857,2569
858,2500
859,3155
860,3290
861,2635
862,1835
863,1456
864,1313
865,1164
866,872
867,545
868,291
869,220
870,169
871,403
872,917
873,1112
874,1475
875,2296
876,2645
877,2803
878,2911
879,2762
880,2643
881,2888
882,3148
883,3947
884,2972
885,2381
886,1929
887,1678
888,1257
889,775
890,318
891,207
892,174
893,209
894,368
895,1256
896,4108
897,5411
898,4672
899,3371
900,3044
901,2653
902,2602
903,2553
904,2497
905,2769
906,3117
907,3875
908,3222
909,2216
910,1334
911,1097
912,936
913,595
914,293
915,193
916,226
917,199
918,412
919,1278
920,4193
921,5450
922,4355
923,3670
924,2986
925,2682
926,2598
927,2505
928,2399
929,2687
930,3180
931,3932
932,3012
933,2250
934,1357
935,1134
936,1031
937,604
938,326
939,221
940,177
941,230
942,397
943,1215
944,4193
945,5447
946,4608
947,3552
948,3054
949,2784
950,2805
951,2781
952,2703
953,2966
954,3357
955,3984
956,3155
957,2118
958,1475
959,1239
960,1191
961,678
962,358
963,248
964,222
965,234
966,419
967,1242
968,4235
969,5461
970,4630
971,3398
972,3080
973,2904
974,2709
975,2778
976,2716
977,3016
978,3434
979,4203
980,3414
981,2396
982,1597
983,1411
984,1117
985,760
986,405
987,237
988,228
989,213
990,414
991,1307
992,4172
993,5507
994,4363
995,3625
996,3079
997,2991
998,2898
999,2734
1000,2757
1001,2984
1002,3467
1003,4017
1004,3680
1005,2813
1006,1985
1007,1559
1008,1265
1009,980
1010,585
1011,348
1012,247
1013,204
1014,335
1015,906
1016,1900
1017,2109
1018,3098
1019,2661
1020,2741
1021,2885
1022,2822
1023,2517
1024,2217
1025,2171
1026,2072
1027,2380
1028,2726
1029,2553
1030,1951
1031,1546
1032,1453
1033,2527
1034,1133
1035,622
1036,346
1037,182
1038,199
1039,359
1040,937
1041,1308
1042,1514
1043,1863
1044,1975
1045,2209
1046,2422
1047,2363
1048,2184
1049,2437
1050,2893
1051,2918
1052,2873
1053,2401
1054,2181
1055,1876
1056,1345
1057,797
1058,350
1059,179
1060,189
1061,216
1062,418
1063,1305
1064,3550
1065,5052
1066,4501
1067,3562
1068,3012
1069,2685
1070,2852
1071,2781
1072,2693
1073,2887
1074,3452
1075,4102
1076,3019
1077,2233
1078,1465
1079,1166
1080,969
1081,606
1082,344
1083,215
1084,176
1085,183
1086,388
1087,1295
1088,4229
1089,5508
1090,4579
1091,3684
1092,2865
1093,2943
1094,2801
1095,2761
1096,2613
1097,2900
1098,3587
1099,4042
1100,3133
1101,2094
1102,1521
1103,1215
1104,1120
1105,1976
1106,459
1107,219
1108,210
1109,217
1110,401
1111,1299
1112,4291
1113,5512
1114,4593
1115,3584
1116,3023
1117,2858
1118,2800
1119,2768
1120,2647
1121,2924
1122,3495
1123,4041
1124,3285
1125,2434
1126,1667
1127,1358
1128,1146
1129,662
1130,351
1131,271
1132,219
1133,223
1134,421
1135,1306
1136,4189
1137,5407
1138,4577
1139,3626
1140,3172
1141,3173
1142,3081
1143,3037
1144,2897
1145,3093
1146,3477
1147,3919
1148,3404
1149,2928
1150,1984
1151,1560
1152,1332
1153,1027
1154,537
1155,325
1156,229
1157,214
1158,325
1159,833
1160,1866
1161,2055
1162,3083
1163,2871
1164,2820
1165,3017
1166,2996
1167,2686
1168,2499
1169,2193
1170,2188
1171,2747
1172,2871
1173,2683
1174,1978
1175,1573
1176,1404
1177,1714
1178,1015
1179,559
1180,353
1181,226
1182,163
1183,359
1184,886
1185,1125
1186,1753
1187,2224
1188,2461
1189,2645
1190,2712
1191,2773
1192,2422
1193,2311
1194,2785
1195,3139
1196,3044
1197,2607
1198,2261
1199,1954
1200,1390
1201,707
1202,398
1203,219
1204,184
1205,211
1206,368
1207,1335
1208,4112
1209,5521
1210,4782
1211,3647
1212,2870
1213,2687
1214,2690
1215,2576
1216,2618
1217,2892
1218,3332
1219,3977
1220,3017
1221,2155
1222,1322
1223,1051
1224,905
1225,1357
1226,299
1227,185
1228,204
1229,212
1230,350
1231,1265
1232,3826
1233,5069
1234,4181
1235,3085
1236,2829
1237,2651
1238,2656
1239,2705
1240,2448
1241,2862
1242,3504
1243,4007
1244,2901
1245,2217
1246,1487
1247,1158
1248,1082
1249,592
1250,324
1251,211
1252,192
1253,223
1254,359
1255,1213
1256,3518
1257,4352
1258,4342
1259,3484
1260,3000
1261,2900
1262,2863
1263,2718
1264,2514
1265,2958
1266,3402
1267,3958
1268,3242
1269,2188
1270,1470
1271,1176
1272,1140
1273,2058
1274,367
1275,263
1276,226
1277,198
1278,393
1279,1355
1280,4184
1281,5458
1282,4434
1283,3578
1284,3197
1285,3137
1286,3016
1287,2936
1288,2915
1289,3238
1290,3585
1291,4148
1292,3940
1293,3161
1294,2236
1295,1621
1296,1234
1297,810
1298,521
1299,298
1300,231
1301,234
1302,326
1303,774
1304,1784
1305,1926
1306,2876
1307,2847
1308,2919
1309,2772
1310,2777
1311,2774
1312,2544
1313,2355
1314,2146
1315,2328
1316,2600
1317,2588
1318,1986
1319,1422
1320,1239
1321,1799
1322,851
1323,464
1324,279
1325,213
1326,182
1327,346
1328,867
1329,908
1330,1214
1331,2088
1332,2449
1333,2849
1334,2927
1335,2871
1336,2645
1337,2461
1338,2597
1339,2864
1340,2707
1341,2091
1342,1753
1343,1494
1344,1347
1345,908
1346,484
1347,238
1348,171
1349,156
1350,165
1351,354
1352,879
1353,1243
1354,1370
1355,1672
1356,2227
1357,3005
1358,3022
1359,2860
1360,2879
1361,3243
1362,3309
1363,3422
1364,3197
1365,2743
1366,2140
1367,1549
1368,1072
1369,644
1370,309
1371,182
1372,217
1373,232
1374,426
1375,1211
1376,3567
1377,5466
1378,4703
1379,3619
1380,3125
1381,2942
1382,2811
1383,2809
1384,2615
1385,2805
1386,3410
1387,3946
1388,3129
1389,2262
1390,1413
1391,1177
1392,1036
1393,548
1394,315
1395,183
1396,198
1397,203
1398,357
1399,1337
1400,4282
1401,5416
1402,4575
1403,3752
1404,3138
1405,2966
1406,2838
1407,2787
1408,2638
1409,3102
1410,3482
1411,3940
1412,3150
1413,2203
1414,1512
1415,1201
1416,1076
1417,1793
1418,420
1419,240
1420,208
1421,240
1422,404
1423,1250
1424,4197
1425,5549
1426,4593
1427,3511
1428,3156
1429,2897
1430,2774
1431,2849
1432,2654
1433,2958
1434,3447
1435,4102
1436,3603
1437,2761
1438,1574
1439,1454
1440,1189
1441,676
1442,326
1443,264
1444,226
1445,239
1446,404
1447,1305
1448,4114
1449,5445
1450,4526
1451,3616
1452,3201
1453,3162
1454,2905
1455,2886
1456,2869
1457,3161
1458,3488
1459,4043
1460,3893
1461,3222
1462,2118
1463,1547
1464,1284
1465,920
1466,534
1467,352
1468,237
1469,264
1470,325
1471,761
1472,1859
1473,1986
1474,3031
1475,2842
1476,2932
1477,2942
1478,3030
1479,2908
1480,2841
1481,2525
1482,2410
1483,2770
1484,3010
1485,2655
1486,1850
1487,1414
1488,1373
1489,1097
1490,775
1491,510
1492,313
1493,207
1494,160
1495,360
1496,885
1497,997
1498,1507
1499,2231
1500,2587
1501,2763
1502,3032
1503,3290
1504,2842
1505,2680
1506,3241
1507,2997
1508,2729
1509,2293
1510,1927
1511,1498
1512,1156
1513,653
1514,320
1515,197
1516,169
1517,214
1518,408
1519,1276
1520,4187
1521,5518
1522,4488
1523,3623
1524,3092
1525,2786
1526,2754
1527,2778
1528,2572
1529,2855
1530,3295
1531,3855
1532,3045
1533,2009
1534,1359
1535,981
1536,892
1537,486
1538,273
1539,179
1540,178
1541,212
1542,377
1543,1288
1544,4219
1545,5158
1546,4642
1547,3694
1548,3110
1549,2833
1550,2890
1551,2771
1552,2623
1553,2831
1554,3458
1555,4021
1556,3152
1557,2304
1558,1377
1559,1079
1560,1027
1561,582
1562,320
1563,196
1564,227
1565,233
1566,387
1567,1272
1568,4035
1569,4980
1570,4467
1571,3756
1572,2973
1573,2708
1574,2699
1575,2674
1576,2699
1577,2897
1578,3377
1579,3976
1580,3327
1581,2176
1582,1487
1583,1215
1584,976
1585,654
1586,334
1587,221
1588,220
1589,247
1590,404
1591,1175
1592,4092
1593,4959
1594,4378
1595,3070
1596,2879
1597,2652
1598,2140
1599,2257
1600,2156
1601,2596
1602,3238
1603,3833
1604,3670
1605,2751
1606,1737
1607,1398
1608,1128
1609,833
1610,539
1611,303
1612,229
1613,198
1614,288
1615,745
1616,1749
1617,1633
1618,1976
1619,1924
1620,1886
1621,1796
1622,1866
1623,2051
1624,1811
1625,1784
1626,2552
1627,2780
1628,2709
1629,2409
1630,1578
1631,1324
1632,1156
1633,955
1634,785
1635,469
1636,340
1637,237
1638,182
1639,358
1640,913
1641,1151
1642,1465
1643,1566
1644,1776
1645,1910
1646,2031
1647,2006
1648,2280
1649,2273
1650,2646
1651,2813
1652,2490
1653,1762
1654,1535
1655,1257
1656,875
1657,562
1658,283
1659,171
1660,171
1661,191
1662,388
1663,1205
1664,3974
1665,4999
1666,4317
1667,2808
1668,2182
1669,2284
1670,2368
1671,2297
1672,2349
1673,2566
1674,3059
1675,3771
1676,2953
1677,1853
1678,1172
1679,988
1680,785
1681,465
1682,249
1683,178
1684,181
1685,194
1686,373
1687,1218
1688,4076
1689,5137